LINE.DEPTH.CMD NUMBER 	COMBINED WALL-CLOCK TIME        	COMBINED CPU TIME               	COMMAND                             
34.0.0:                	( 0.001381s |  0.10% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
└─ 34.1.0:          	( 0.000494s |100.00% |  0.03% )   ( 0.000526s |100.00% |  0.22% )    	(1x)	echo 10 (&)

36.0.0:                	( 0.000070s |  0.00% )            ( 0.000084s |  0.03% )             	(1x)	echo 11

37.0.0:                	( 0.001015s |  0.07% )            ( 0.000657s |  0.27% )             	(1x)	echo 12 (&)

38.0.0:                	( 0.001501s |  0.11% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
└─ 38.1.0:          	( 0.000120s |100.00% |  0.00% )   ( 0.000143s |100.00% |  0.06% )    	(1x)	echo 13

39.0.0:                	( 0.000123s |  0.00% )            ( 0.000147s |  0.06% )             	(1x)	<< (SUBSHELL) >>
└─ 39.1.0:          	( 0.000123s |100.00% |  0.00% )   ( 0.000147s |100.00% |  0.06% )    	(1x)	echo 14

41.0.0:                	( 0.000153s |  0.01% )            ( 0.000188s |  0.07% )             	(1x)	<< (FUNCTION): main.ff 15 >>
├─ 1.1.0:           	( 0.000059s | 38.56% |  0.00% )   ( 0.000072s | 38.29% |  0.03% )    	(1x)	ff 15
└─ 8.1.0:           	( 0.000094s | 61.43% |  0.00% )   ( 0.000116s | 61.70% |  0.04% )    	(1x)	echo "${*}"

42.0.0:                	( 0.000283s |  0.02% )            ( 0.000339s |  0.14% )             	(1x)	<< (FUNCTION): main.gg 16 >>
├─ 1.1.0:           	( 0.000058s | 20.49% |  0.00% )   ( 0.000072s | 21.23% |  0.03% )    	(1x)	gg 16
│  8.1.0:             	( 0.000079s | 27.91% |  0.00% )   ( 0.000095s | 28.02% |  0.04% )    	(1x)	echo "$*"
│  8.1.1:             	( 0.000146s | 51.59% |  0.01% )   ( 0.000172s | 50.73% |  0.07% )    	(1x)	<< (FUNCTION): .ff "$@" >>
│  ├─ 1.2.0:      	( 0.000063s | 43.15% |  0.00% )   ( 0.000075s | 43.60% |  0.03% )    	(1x)	ff "$@"
└─ └─ 8.2.0:    	( 0.000083s | 56.84% |  0.00% )   ( 0.000097s | 56.39% |  0.04% )    	(1x)	echo "${*}"

44.0.0:                	( 0.002332s |  0.17% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
└─ 44.1.0:          	( 0.000736s |100.00% |  0.05% )   ( 0.000783s |100.00% |  0.33% )    	(1x)	echo a (&)

45.0.0:                	( 0.001105s |  0.08% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
├─ 45.1.0:          	( 0.001105s |100.00% |  0.08% )   ( 0.000001s |100.00% |  0.00% )    	(1x)	<< (BACKGROUND FORK) >>
└─ └─ 45.2.0:   	( 0.000109s |100.00% |  0.00% )   ( 0.000124s |100.00% |  0.05% )    	(1x)	echo b

47.0.0:                	( 0.001368s |  0.10% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
├─ 47.1.0:          	( 0.001368s |100.00% |  0.10% )   ( 0.000001s |100.00% |  0.00% )    	(1x)	<< (BACKGROUND FORK) >>
│  ├─ 47.2.0:     	( 0.001368s |100.00% |  0.10% )   ( 0.000001s |100.00% |  0.00% )    	(1x)	<< (BACKGROUND FORK) >>
└─ └─ └─ 47.3.0: 	( 0.000105s |100.00% |  0.00% )   ( 0.000125s |100.00% |  0.05% )    	(1x)	echo A4
47.0.0:                	( 0.001651s |  0.12% )            ( 0.001789s |  0.76% )             	(1x)	<< (SUBSHELL) >>
├─ 47.1.0:          	( 0.000661s | 40.03% |  0.04% )   ( 0.000696s | 38.90% |  0.29% )    	(1x)	echo A2 (&)
│  47.1.1:            	( 0.000813s | 49.24% |  0.06% )   ( 0.000884s | 49.41% |  0.37% )    	(1x)	<< (SUBSHELL) >>
│  ├─ 47.2.0:     	( 0.000813s |100.00% |  0.06% )   ( 0.000884s |100.00% |  0.37% )    	(1x)	<< (SUBSHELL) >>
│  └─ └─ 47.3.0: 	( 0.000813s |100.00% |  0.06% )   ( 0.000884s |100.00% |  0.37% )    	(1x)	echo A5 (&)
└─ 47.1.2:          	( 0.000177s | 10.72% |  0.01% )   ( 0.000209s | 11.68% |  0.08% )    	(1x)	echo A1
47.0.1:                	( 0.001839s |  0.13% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
├─ 47.1.0:          	( 0.001839s |100.00% |  0.13% )   ( 0.000001s |100.00% |  0.00% )    	(1x)	<< (BACKGROUND FORK) >>
└─ └─ 47.2.0:   	( 0.000154s |100.00% |  0.01% )   ( 0.000171s |100.00% |  0.07% )    	(1x)	echo A3

50.0.0:                	( 0.005885s |  0.43% )            ( 0.011154s |  4.74% )             	(1x)	cat <<EOF$'\n'foo$'\n'bar$'\n'baz$'\n'EOF | grep foo | sed 's/o/O/g' | wc -l
50.0.1:                	( 0.004673s |  0.34% )            ( 0.009949s |  4.23% )             	(1x)	grep foo | sed 's/o/O/g' | wc -l
50.0.2:                	( 0.003465s |  0.25% )            ( 0.008746s |  3.72% )             	(1x)	sed 's/o/O/g' | wc -l
50.0.3:                	( 0.002297s |  0.17% )            ( 0.007582s |  3.22% )             	(1x)	wc -l

56.0.0:                	( 0.000568s |  0.04% )            ( 0.000433s |  0.18% )             	(1x)	echo "today is $(date +%Y-%m-%d)"
56.0.1:                	( 0.002818s |  0.21% )            ( 0.002819s |  1.19% )             	(1x)	<< (SUBSHELL) >>
└─ 56.1.0:          	( 0.002818s |100.00% |  0.21% )   ( 0.002819s |100.00% |  1.19% )    	(1x)	date +%Y-%m-%d

57.0.0:                	( 0.000818s |  0.06% )            ( 0.000688s |  0.29% )             	(1x)	x=$( ( echo nested; echo subshell ) | grep sub)
57.0.1:                	( 0.000213s |  0.01% )            ( 0.000254s |  0.10% )             	(1x)	<< (SUBSHELL) >>
├─ 57.1.0:          	( 0.003598s |168.920% |  0.26% )   ( 0.006689s |263.346% |  2.84% )    	(1x)	grep sub
│  57.1.1:            	( 0.000213s |100.00% |  0.01% )   ( 0.000254s |100.00% |  0.10% )    	(1x)	<< (SUBSHELL) >>
│  ├─ 57.2.0:     	( 0.000139s | 65.25% |  0.01% )   ( 0.000165s | 64.96% |  0.07% )    	(1x)	echo nested
└─ └─ 57.2.1:   	( 0.000074s | 34.74% |  0.00% )   ( 0.000089s | 35.03% |  0.03% )    	(1x)	echo subshell

59.0.0:                	( 0.000574s |  0.04% )            ( 0.000415s |  0.17% )             	(1x)	diff <(ls /) <(ls /tmp) (&)
59.0.1:                	( 0.006954s |  0.25% )            ( 0.006956s |  1.47% )             	(2x)	<< (SUBSHELL) >>
└─ 59.1.0:          	( 0.006954s |100.00% |  0.51% )   ( 0.006956s |100.00% |  2.95% )    	(2x)	ls / \(\^\)

60.0.0:                	( 0.000597s |  0.04% )            ( 0.000438s |  0.18% )             	(1x)	grep pattern <(sed 's/^/>>/' > /dev/null) (&)
60.0.1:                	( 0.002815s |  0.21% )            ( 0.002816s |  1.19% )             	(1x)	<< (SUBSHELL) >>
└─ 60.1.0:          	( 0.002815s |100.00% |  0.21% )   ( 0.002816s |100.00% |  1.19% )    	(1x)	sed 's/^/>>/' > /dev/null \(\^\)

62.0.0:                	( 0.043199s |  3.22% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
├─ 62.1.0:          	( 0.000213s |  0.19% |  0.01% )   ( 0.000258s |  1.69% |  0.10% )    	(3x)	for i in {1..3}
│  62.1.1:            	( 0.000212s |  0.20% |  0.01% )   ( 0.000258s |  1.69% |  0.10% )    	(3x)	echo "$i"
└─ 62.1.2:          	( 0.034535s | 32.92% |  2.57% )   ( 0.004552s | 29.93% |  1.93% )    	(3x)	sleep .01

63.0.0:                	( 0.036860s |  0.68% )            ( 0.015202s |  1.61% )             	(4x)	read -r n <&${CO[0]}
63.0.1:                	( 0.000277s |  0.00% )            ( 0.000336s |  0.04% )             	(3x)	printf "got %s\n" "$n"

